,id,review,explanation,contribution,frequency,confidence_score,prediction,label,raw_pred,vanilla_prediction,c,explanation_M2,contribution_M2,frequency_M2,confidence_score_M2,prediction_M2,label_M2,raw_pred_M2,vanilla_prediction_M2,c_M2,E1_polarity,E2_polarity
0,12830,the only reason i watched this movie a second time  was to learn the name of the  second banana  girl playing opposite katie <unk>  her name is marisa <unk>  never heard of her before  she is lovely  captivating  with an animated face  and cute bod  she is highly watchable  she  got real   <unk>   more than a passing vibe of grace kelly  with youthful exuberance  i think she is irish in gene pool   my favorite female dna  so it makes some sense that she would resemble the most beautiful irish american  the movie is unremarkable  katie <unk> is classic beauty in the flesh  but marisa <unk> is the one you follow with your eyes  in  when this movie was made  she was around  years old  in her prime  this reminds me of another silly  worthless movie with the only redemption being the pretty girl in it  it was  career <unk>  with the first time i saw jennifer <unk>  or  grease ii  the first time i saw michelle pfeiffer  <pad> ,another great orchestral score,0.033433109521865845,1,1.0,0.0,1.0,0.336,0.17766880989074707,0.033433109521865845,respectable affluent rich america,0.026427388191223145,1,1.0,1.0,1.0,0.6218,0.9956436157226562,0.026427388191223145,0,0
1,14260,paul naschy as a ghostly security guard in this is scarier than most of his fur  and  shoe  polish werewolf guises  the story is not unfamiliar  a bunch of kids going to party at an abandoned school  the thing is  that one of these kid  fathers did the same thing years ago but he  now deceased  and the latest group of kids seem to be reliving an event from  years ago  this is fairly well done for films of this type  and there  an air of mystery to what  going on because apparently what happened to the kids before is somewhat of a mystery and perhaps the truth was  revealed  so no  not just your standard slice and dice  this moves along at a fairly good clip and does  let you lose interest like a lot of films do  and the oddball story is compelling enough to keep you interested too  and there  some suspense which is lacking in a lot of films these days  the ending is rather aupt and i suppose is left mostly to your imagination  but then again it does  out  stay its welcome either   out of   check it out  ,great films get better,0.11365075409412385,1,1.0,0.0,0.0,0.1848,0.1184522733092308,-0.11365075409412385,leslie still look great,0.05208098888397217,1,1.0,1.0,0.0,0.7623,0.9815350770950316,-0.05208098888397217,0,0
2,16181,there is a lot to like in this film  despite its humble trappings of a preachy pc tale about rape and the perp always faring better than the victim  the movie did create a fair bit of suspense in the mystery surrounding who was sending the notes   i  for one  was sure it was the teacher  in fact  that would have been more probable plot  wise because the idea of the best  friend  boy  friend kind of came out of nowhere  i guess the point of that is that  rape is omnipresent  you never know who it is going to be     <unk> is luminous as always  yet see <unk> discussion board for my qualification of this statement   like all preachy films the plot lasts  minutes past the climax so you might want to quit watching at that point  unless you are really curious to find out what happens to phillip  blythe danner  as the mom  is in the role she was born to play  the fretting  over  protective mom  some good  scenes for  fans   the dark bar that the father goes to in order to drink away his pain is all dark  stained beams  barrels  oak and cork   a must for <unk> fans and highly recommended for fans of  high school melodrama or  kitsch in general  ,anyone could easily enjoy,0.1012239307165146,1,1.0,0.0,0.0,0.3442,0.228378564119339,-0.1012239307165146,anyone could easily enjoy,0.11380863189697266,1,1.0,1.0,0.0,0.7312,0.97587388753891,-0.11380863189697266,0,0
3,17,for pure gothic vampire cheese nothing can compare to the subspecies films  i highly recommend each and every one of them  <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> ,individual personalities creating clear,0.08450824022293091,1,1.0,1.0,0.0,0.8843,0.034376729279756546,-0.08450824022293091,individual personalities creating clear,0.09702371060848236,1,1.0,0.0,0.0,0.2895,0.994150698184967,-0.09702371060848236,0,0
4,17135,as social satire  idiocracy is just as good as office space  but with a wider scope  to criticize this film as too puerile due to potty humor is to kind of miss the point  i think  there are certainly fart jokes etc   but they  not really intended to be funny to the audience  they exist to define the state of  culture  in the world of  ad visited by joe  as a background to the bizarre state of affairs in which he awakes  the real humor of the film lies in the many sight gags and attitudes present in this future society that are just a shade off of what we encounter in our daily lives  and which should serve as a warning  my personal favorite is the depiction of fox news  the subtle illiance in the film lies in the fact that it also digs at  smart  people  and average joes like the protagonists  note the times in the film when joe and rita almost subconsciously conform to the idiots around them  and you realize that idiocracy is not created to pick on any group of people in particular  but on the culture of idiocy in general  i do  know what to say about the  made for conspiracy theory  behavior of fox in releasing this film  but if it  not playing in your local theater  demand it  we all need to see this film  if not for the social commentary  at least for the fart jokes  ,positively roast every scene,0.13707828521728516,1,1.0,0.0,0.0,0.5861,0.26767060160636896,-0.13707828521728516,respectable affluent rich america,0.05425167083740234,1,1.0,1.0,0.0,0.794,0.9792305827140808,-0.05425167083740234,0,0
5,17999,i was just looking at the  bottom movies according to imdb users seeing if there was anything to review that i have  yet and i found this little screen gem  one of those occasions when you see a movie ranked as one of the worst and you just have to be one of the few that actually likes it  darn  well i guess i will get ridiculed and spat upon here  but for me this was a pretty good flick when i saw it  it has been awhile however  i remember it used to come on hbo late at night and i watched it two or three times and i have  seen it really since and i would love to watch it again now knowing jolie was in it  the story follows a cyborg and a guy trying to escape the clutches of this corporation and some bounty hunters after them  i think that is basically all there is to it  throw in a few scenes with jack palance and we have our movie  some good action here and there  and some blood and violence as well  there is also a love story at play as well as the female cyborg and the guy who trained her to fight kind of fall in love with each other  the dialog sometimes becomes rather bad at times and it is by far not a top notch film  but for a b  movie it is really good  i do  know if it was a theatrical release though because it does not seem high quality enough for that  but it does make for one of the better direct to videos if it was one of those  ,cold war tension portrayed,0.05200904607772827,1,1.0,0.0,0.0,0.4173,0.2287396639585495,-0.05200904607772827,respectable affluent rich america,0.09617561101913452,1,1.0,1.0,0.0,0.7029,0.9680057168006896,-0.09617561101913452,1,0
6,21572,if there were two parts that the physically towering  ugly  charismatic actor gérard depardieu was born  as a frenchman  to play  it must surely have been cyrano de bergerac and the orator georges <unk>  here he dominates the film both through the eadth of his shoulders and the power of his voice  his charisma carries the part despite the fact that it is made clear that the character has as much blood on his hands as any of the rest of them  <unk> feasts while the people of paris starve  but he is the one man who can challenge the tyranny imposed by the dreaded committee of public safety in the name of  freedom   and he is presented as the hero of the film  despite the fact that the source play practically <unk> his opponent   for those who know the characters from history  there is interest to be had in identifying the minor parts  the frog  faced <unk>  <unk> the cripple  <unk>  <unk> the tribunal  prosecutor  the dashing fop st  just  the epic painter david  but the script cuts little slack in this respect  names are often late in coming if minor characters are identified at all  and there is no hollywood  style  info  dump  to make sure that the audience can place events in their historical context  the film takes it for granted that you know what has gone before  and what will happen after  sometimes it takes too much for granted  as when it relies on a close knowledge of dates to provide the sting to its tail in the fact that robespierre followed <unk> shortly to the   considered as a film  it  not entirely satisfactory in that it ebbs away towards the end  the structure of the story leads up to some great confrontation between the protagonists in the courtroom or some dramatic climax to the trial  which  thanks to history  never actually happens  things just fizzle out  there is no revolt  there is no overthrow of tyranny  there is no assumption of power by the victor  there is no triumph on either side  it may be historically accurate  but it  not entirely satisfying as the outcome of a screen scenario  it seems an odd place to stop  as others have commented  it might have been more logical to take events up to the end of the terror and show in <unk> the fall of robespierre  <pad> <pad> ,raging alcoholic matt sorenson,0.04359614849090576,1,1.0,0.0,0.0,0.3835,0.05459718778729439,-0.04359614849090576,wide white ready grin,0.06055593490600586,1,1.0,1.0,0.0,0.6279,0.992842435836792,-0.06055593490600586,1,0
7,21019,i just ca  understand why people are surprised this movie makes no sense  it was never supposed to make sense   duh  the writers were completely wasted on <unk> at the time   it was just supposed to entertain and mock  and it does both   the monkees are good actors  they would  have been hired if they were  good actors  mike has a thing for deadpan and darkness  micky is the best at sheer psychotic comedy  davy is a oadway veteran  and peter actually had people believing he was that dumb in real life  do  tell me they ca  act  because they most definitely   they can also write  sure  jack  bob get the sole credits  but in reality  they got a big helping hand on that script from the monkees  who were also in that smoke  filled    is absolutely impossible to spoil this film  head is very highly symbolic  among the more memorable elements is the black box  which was actually based on  things  the <unk> image that the boys were bound to  and the real black box on the screen gems lot where the band was kept between takes  there  so much more symbolism in the movie that i  just let you watch it and figure it   the music is awesome   circle sky  is one of papa nez  best tunes ever  and  <unk> song    as we go along  will have you enthralled  if you  rather be weirded out  then  ditty diego    can you dig it    and  long title  should be satisfactory  great songs that they are  and then there   daddy  song   without a doubt a homage to davy  oadway days  and the editing  color scheming for that sequence is superb   at least for    oh  for those of you who wo  watch a  pg  film  you  missing out  especially since head was originally rated r in   the rating was lowered about twenty years   now where was i  ah  yes   we were speaking of beliefs  beliefs and conditioning   ,amazing career topping performances,0.12483978271484375,1,1.0,0.0,0.0,0.4507,0.27284014225006104,-0.12483978271484375,illegal immigrant feels sick,0.03944343328475952,1,1.0,1.0,0.0,0.6526,0.993699073791504,-0.03944343328475952,0,1
8,24500, i am  proud of  head    mike nesmith has said  he should be  because this film  which either has been derided by many of us or studied and scrutinized by film professors  works on many   yes  it  unconventional  to many  frustrating  it  almost as if the producers hand you the film and tempt   you figure it out    you probably already know that the monkees tv show was a runaway marketing success that depended upon business acumen and no small serving of public deception  tv shows are about selling soap and toothpaste first  than to entertain  that the monkees oke out of the box for a short time to make  head  is a testament to the group  popularity and importance in pop culture  despite where your head  at  get one thing straight   head  is not the monkees tv   so what we have here is a  psychedelic documentary  about western pop culture from a source that has authority on the subject   head  is a movie that could only come from those  inside the box   by   the monkees  cast and crew were seasoned and weary professionals who had seen their share of promise and disappointment  the movie was a deliberate attempt at market <unk>  so  it did three things  make a film the way the monkees envisioned  most importantly  reinvent the group to one not subservient to it  old bosses  and yas  hipper than before  make a film that exposed american attitudes of information      therefore  really is about media manipulation and its net result  deception  the mass media is supposed to inform  educate us on the happenings in the world at large  and ultimately asks us to form opinions of these events that can shape thought into positive action  thus we assume the information we absorb to be complete and unbiased  otherwise  how can one establish a valued conclusion on any one idea presented by a book  newspaper or tv show  in one of the street interviews in  head   a guy admits   i have  looked at a newspaper or tv in years   is he lesser or better the man  even the drug parallels are a soft <unk> of  things are not as they seem   remember the old joke   everything you know is wrong   the screenplay starts with the monkees  public admission of it  own  manufactured image  and runs with the football  literally  is the football scene in the movie a visual manifestation of the whole idea behind  head   is the film a stream  of  consciousness exercise  is the film the culmination of pot smoking marathons  there are too many coincidences that occur in the film that suggest otherwise  my guess is that  head  is the culmination of motivations somewhere between intended and   largely  the insiders responsible for  head  seem to enjoy themselves in the <unk> that take place in the film  but there is anger  anger at the chaos that characterized the late   and anger at the way the media  television especially  had changed culture in negative ways  drugs and violence were strong negative forces in the late   and still are  but the producers of  head  want you to know that poor  information  is a far greater   wars have been attributed to <unk> and lies  what perfect way to spread disinformation than through tv  repeatedly  the mysterious black box is seen as an obstacle to the monkees and seemingly  all of us as well  in one scene  peter is sullenly sitting in a saloon holding a melting ice cream cone  and is asked by a fellow monkey   what  wrong    i bought this ice cream cone and i do  want it   the movie suggests that the first purpose of the media is not to inform  but to sell en mass blindly   head  goes further  put any idea into someone  head  and merrily goes   the filmmakers know this  and the danger is real   head  is either a movie that creates itself  as we go along   or is a deliberate statement  perhaps  perhaps not  maybe it is just  pot meets advertising   as critics scathed in   the jokes are on the monkees and us  be careful what you ask for  you may get   cheers  a true guilty pleasure  very funny  intelligent  will please the fans  find the substance  it  there  unabashedly weird  bizarre collection of characters  good <unk>  length is appropriate  lots of great one liners  including my all time prophetic favorite   the tragedy of your times  my young friends  is that you may get exactly what you want    caveats  dated  drugs  no plot  no linear delivery of any thought in particular  at least twenty  five stories that <unk> in stop   go fashion  so  may easily frustrate  may seem pretentious to some  people who ca  stand the monkees need not watch  though that in itself is no reason to avoid it  the psychedelic special effects may kill your ailing picture tube or your acid  out   match  cut  ,excellent movies ever produced,0.10355663299560547,1,1.0,1.0,0.0,0.9633,0.6351852416992188,-0.10355663299560547,excellent movies ever produced,0.07794623076915741,1,1.0,0.0,0.0,0.2178,0.9948068261146544,-0.07794623076915741,0,0
9,133,i could nt believe how well this kid did on screen  you will completely forget that they are actors and loose yourself in the movie  it is like watching home movies with a twist  i recomend this to everyone  highly  ,dick grayson alias nightwing,0.07781222462654114,1,1.0,0.0,0.0,0.3669,0.7491735219955444,-0.07781222462654114,respectable affluent rich america,0.1393197774887085,1,1.0,1.0,0.0,0.7522,0.9876246452331544,-0.1393197774887085,1,0
